Name of Person or Organization;Date of Gift;Value of Gift
OPRAHS ANGEL NETWORK;07.02.2008;$2,000
ORATORIO SOCIETY OF QUEENS;9/21/2007;$125
ORATORY PREPARATORY SCHOOL;02.04.2008;$500
OUR LADY OF MERCY ACADEMY;02.04.2008;$600
OUR LADY OF PERPETUAL HELP SCHOOL;6/24/2008;$250
OUR LADY OF PERPETUAL HELP SCHOOL;6/24/2008;$5,000
OUR LADY OF PERPETUAL HELP SCHOOL;7/16/2008;$200
OUTDOOR EXPLORATIONS;4/25/2008;$1,000
OVARIAN CANCER RESEARCH FUND;7/23/2008;$200
OVERSEAS CHINA EDUCATION FOUNDATION;11/15/2007;$2,000
OXFAM AMERICA;02.04.2008;$50
OXFAM AMERICA;05.01.2008;$250
OXFAM AMERICA;05.07.2008;$75
OXFAM AMERICA;09.05.2008;$150
PACE UNIVERSITY;12/19/2007;$100
PACE UNIVERSITY;02.04.2008;$150
PACE UNIVERSITY;05.07.2008;$50
PADRE PIO SHELTER;06.10.2008;$1,000
PAGES MEMORIAL FOUNDATION;08.06.2008;$2,500
PALM HEALTHCARE FOUNDATION;12.04.2007;$250
PALM HEALTHCARE FOUNDATION;3/17/2008;$250
PALO ALTO FOUNDATION FOR;09.05.2008;$400
PAN MASS CHALLENGE;10.05.2007;$100
PAN MASS CHALLENGE;10/24/2007;$1,175
PAN MASS CHALLENGE;11/15/2007;$1,025
PAN MASS CHALLENGE;12.05.2007;$1,000
PAN MASS CHALLENGE;12/19/2007;$550
PAN MASS CHALLENGE;05.07.2008;$250
PAN MASS CHALLENGE;7/16/2008;$50
PAN MASS CHALLENGE;7/23/2008;$250
PANCREATIC CANCER ACTION NETWORK INC;05.01.2008;$500
PANCREATIC CANCER ACTION NETWORK INC;7/23/2008;$50
PARENTS & TEACHERS ASSOCIATION OF PS 116;12/19/2007;$500
PARENTS ASSOC OF THE BRONX;4/25/2008;$360
PARENTS ASSOC OF THE BRONX;05.07.2008;$100
PARISH EPISCOPAL SCHOOL PARENTS';5/14/2008;$1,000
PARK AVENUE CHRISTIAN CHURCH DAY;05.01.2008;$1,000
PARK AVENUE CHRISTIAN CHURCH DAY;06.10.2008;$1,000
PARK WEST COOPERATIVE NURSERY;12/19/2007;$400
PARK WEST COOPERATIVE NURSERY;5/14/2008;$50
PARKINSON'S DISEASE FOUNDATION;05.01.2008;$50
PARKINSON'S DISEASE FOUNDATION;06.10.2008;$250
PART OF THE SOLUTION;05.01.2008;$250
PASADOS SAFE HAVEN;12/19/2007;$100
PASSAIC HEBREW INSTITUTE CORP.;4/24/2008;$2,000
PASSAIC HEBREW INSTITUTE CORP.;5/14/2008;$2,000
PATHWAYS HOSPICE FOUNDATION;05.07.2008;$250
PAUL TAYLOR DANCE COMPANY;02.04.2008;$500
PAUL TAYLOR DANCE COMPANY;09.05.2008;$500
PAWS CHICAGO;10.05.2007;$220
PEACE COLLEGE;05.01.2008;$400
PEACE CORPS;11/15/2007;$100
PECONIC LAND TRUST;02.04.2008;$100
PEDDIE SCHOOL;05.01.2008;$100
PEDIATRIC CANCER RESEARCH FOUNDATION;10.08.2007;$2,363
PEDIATRIC CANCER RESEARCH FOUNDATION;09.05.2008;$1,225
PEKING UNIV EDUCATION FOUNDATION;3/17/2008;$1,000
PEKING UNIV EDUCATION FOUNDATION;09.05.2008;$4,300
PELHAM EDUCATION FOUNDATION INC;7/23/2008;$100
PENNSYLVANIA STATE UNIVERSITY;05.01.2008;$50
PENNSYLVANIA STATE UNIVERSITY;05.07.2008;$500
PENNSYLVANIA STATE UNIVERSITY;7/16/2008;$500
PEOPLE FOR THE ETHICAL TREATMENT OF;11/15/2007;$500
PEOPLE FOR THE ETHICAL TREATMENT OF;7/16/2008;$500
PEPY RIDE;10.12.2007;$250
PEPY RIDE;10/24/2007;$150
PERFORMANCE ZONE;9/21/2007;$1,600
PHELPS MEMORIAL HOSPITAL ASSOCIATION;10.12.2007;$100
PHILANTHROPY ROUNDTABLE;05.09.2008;$500
PHILLIPS EXETER ACADEMY;02.04.2008;$50
PHILLIPS EXETER ACADEMY;05.01.2008;$200
PHILLIPS EXETER ACADEMY;7/23/2008;$150
PIANO OUTREACH OF NEW YORK;05.01.2008;$500
PIEDMONT ENVIRONMENT COUNCIL;06.10.2008;$2,000
PINE CREST SCHOOL;05.01.2008;$2,000
PINGRY SCHOOL;10.05.2007;$250
PINGRY SCHOOL;12/19/2007;$1,100
PINGRY SCHOOL;09.05.2008;$250
PIONEER DRUM AND BUGLE CORPS INC;10.12.2007;$500
PLAN INTERNATIONAL;05.07.2008;$264
PLAN INTERNATIONAL;7/23/2008;$276
PLANNED PARENHOOD FEDERATION OF AMERICA;12/19/2007;$400
PLANNED PARENHOOD FEDERATION OF AMERICA;05.01.2008;$360
PLANNED PARENHOOD FEDERATION OF AMERICA;7/16/2008;$200
PLANNED PARENTHOOD;10.05.2007;$50
PLANNED PARENTHOOD;7/23/2008;$100
PLANTING FIELDS FOUNDATION;10.05.2007;$600
PLAYING FOR PEACE;10/24/2007;$100
PLAYING FOR PEACE;05.07.2008;$50
POINTS OF LIGHT FOUNDATION;05.05.2008;$3,000
POMFRET SCHOOL;05.01.2008;$100
PORTLEDGE SCHOOL;10.12.2007;$500
PORTLEDGE SCHOOL;12/19/2007;$100
POSSE FOUNDATION;12/19/2007;$50
POSSE FOUNDATION;3/17/2008;$200
POSSE FOUNDATION;05.07.2008;$2,500
POSSE FOUNDATION;06.02.2008;$250
POUND RIDGE LIBRARY FOUNDATION;5/20/2008;$200
POWER MEMORIAL ACADEMY ALUMNI;5/14/2008;$2,000
PRADER WILLI SYNDROME ASSOC;5/20/2008;$100
PRADER WILLI SYNDROME ASSOC;09.05.2008;$50
PRASAD PROJECT;11/15/2007;$50
PRASAD PROJECT;05.01.2008;$50
PRASAD PROJECT;7/16/2008;$50
PRASAD PROJECT;09.05.2008;$50
PRATT INSTITUTE;05.07.2008;$100
PREP FOR PREP;7/16/2008;$500
PREP FOR PREP;7/23/2008;$1,000
PRESBYTERIAN SCHOOL;02.04.2008;$2,000
PRESERVATION NEW JERSEY;10.05.2007;$250
PRESIDENT & FELLOWS OF MIDDLEBURY;10.05.2007;$50
PRESIDENT & FELLOWS OF MIDDLEBURY;10/24/2007;$326
PRESIDENT & FELLOWS OF MIDDLEBURY;7/16/2008;$1,600
PRESIDENT & FELLOWS OF MIDDLEBURY;7/23/2008;$540
PRESIDENT & FELLOWS OF MIDDLEBURY;09.05.2008;$155
PRESTON HOLLOW PRESBYTERIAN SCHOOL;5/14/2008;$2,000
PREVENT CHILD ABUSE GEORGIA;12/19/2007;$1,500
PRINCETON PRO MUSICA;11/15/2007;$300
PRINCETON UNIVERSITY;3/31/2008;$1,796
PRINCETON UNIVERSITY                                   ;10.05.2007;$700
PRINCETON UNIVERSITY                                   ;10/24/2007;$250
PRINCETON UNIVERSITY                                   ;11/27/2007;$25,000
PRINCETON UNIVERSITY                                   ;11/30/2007;$15,000
PRINCETON UNIVERSITY                                   ;12.06.2007;$15,000
PRINCETON UNIVERSITY                                   ;12/27/2007;$3,591
PRINCETON UNIVERSITY                                   ;02.04.2008;$2,000
PRINCETON UNIVERSITY                                   ;05.01.2008;$375
PRINCETON UNIVERSITY                                   ;05.07.2008;$2,500
PRINCETON UNIVERSITY                                   ;06.10.2008;$75
PRINCETON UNIVERSITY                                   ;7/23/2008;$550
PRINCETON UNIVERSITY                                   ;8/22/2008;$7,500
PRINCETON UNIVERSITY                                   ;09.05.2008;$300
PRINCETON YOUNG ACHIEVERS INC;12/19/2007;$3,175
PRINCETON YOUNG ACHIEVERS INC;09.05.2008;$1,000
PRINCIPIA COLLEGE;07.02.2008;$2,000
PRO MUJER;06.10.2008;$500
PROGRESSIVE SCHOOL OF L.I.;7/23/2008;$1,150
PROJECT AVARY INC;07.02.2008;$500
PROJECT ENTERPRISE;12/19/2007;$350
PROJECT ORBIS INTERNATIONAL INC;11/15/2007;$500
PROVIDENCE CLASSICAL CHRISTIAN SCHOOL;03.03.2008;$250
PROVIDENCE COLLEGE;02.04.2008;$4,500
PROVIDENCE COLLEGE;09.05.2008;$500
PS 87 PARENTS ASSOCIATION INC;9/24/2007;$2,000
PS 87 PARENTS ASSOCIATION INC;10.12.2007;$500
PTA OF PUBLIC SCHOOL 6;05.01.2008;$1,850
PUBLIC BROADCASTING OF COLORADO;5/14/2008;$120
PULSE OF NEW YORK;05.07.2008;$500
PUNAHOU SCHOOL;02.04.2008;$1,000
PUNAHOU SCHOOL;05.01.2008;$250
PURDUE FOUNDATION;12.10.2007;$100
PURDUE FOUNDATION;1/22/2008;$150
PURDUE FOUNDATION;09.05.2008;$50
PURNELL SCHOOL;07.02.2008;$500
PUTNAM INDIAN FIELD SCHOOL;07.02.2008;$2,000
QUEENS HATZOLO AID INC;4/25/2008;$500
RABBI JACOB JOSEPH SCHOOL-NY;7/16/2008;$300
RACING THOUGHTS;10/24/2007;$2,000
RAMAPO BERGEN ANIMAL REFUGE;7/16/2008;$600
RAMAZ SCHOOL;7/16/2008;$500
RANSOM EVERGLADES SCHOOL INC;02.04.2008;$2,500
RAPTOR TRUST;12/19/2007;$250
RAPTOR TRUST;7/16/2008;$250
REACHING OUT MBA;6/27/2008;$15,000
RED HOOK CRATING LLC;08.08.2008;$350
RED HOOK CRATING LLC;08.08.2008;$375
REDEEMER LUTHERAN SCHOOL;5/14/2008;$2,000
REDEEMER LUTHERAN SCHOOL;09.05.2008;$2,000
REDWOOD HIGH SCHOOL FOUNDATION;12/19/2007;$100
REGENTS OF THE UNIVERISTY OF;05.01.2008;$50
REGENTS OF THE UNIVERISTY OF;05.07.2008;$5,625
REGENTS OF THE UNIVERISTY OF;5/14/2008;$500
REGENTS OF THE UNIVERISTY OF;06.10.2008;$700
REGENTS OF THE UNIVERISTY OF;7/23/2008;$250
REGENTS OF THE UNIVERSITY OF CALIFORNIA;12.04.2007;$500
REGENTS OF THE UNIVERSITY OF CALIFORNIA;05.01.2008;$250
REGENTS OF THE UNIVERSITY OF CALIFORNIA;7/23/2008;$1,100
REGENTS OF THE UNIVERSITY OF MICHIGAN;10.02.2007;$104
REGENTS OF UNIV OF CALIFORNIA AT;5/20/2008;$850
REGIS HIGH SCHOOL;02.04.2008;$150
REGIS HIGH SCHOOL;05.01.2008;$1,000
REGIS HIGH SCHOOL;05.07.2008;$1,000
REGIS HIGH SCHOOL;5/14/2008;$650
REGIS HIGH SCHOOL;7/23/2008;$200
REGIS HIGH SCHOOL;09.05.2008;$1,000
REGIS JESUIT HIGH SCHOOL;7/23/2008;$500
RENAISSANCE SOCIETY UNIVERSITY OF;11/15/2007;$1,500
RENSSELAER POLYTECHNIC INSTITUTE;12/19/2007;$200
RENSSELAER POLYTECHNIC INSTITUTE;5/14/2008;$50
RESOURCE FOUNDATION;06.10.2008;$2,000
RESOURCES FOR EDUCATIONAL AND;11/15/2007;$2,000
RETINA ASSOCIATES FOUNDATION;07.02.2008;$500
RETT SYNDROME RESEARCH FOUNDATION;11/15/2007;$300
RETURNING HEROES HOMES INC;07.02.2008;$500
REVLON RUN WALK FOR WOMEN;09.05.2008;$100
RHODE ISLAND COLLEGE FOUNDATION;05.07.2008;$2,000
RICE UNIVERSITY;06.02.2008;$250
RICHARD WRIGHT INC;10/26/2007;$343
RICHARD WRIGHT INC;12/18/2007;$314
RICHARD WRIGHT INC;1/29/2008;$434
RICHARD WRIGHT INC;2/26/2008;$320
RIDE FOR AUTISM INC;10/16/2007;$100
RIDGEFIELD ACADEMY INC;05.07.2008;$1,500
RIDGEFIELD ACADEMY INC;7/16/2008;$500
RIDGEFIELD ACADEMY INC;7/23/2008;$1,000
RIDGEWOOD EDUCATION FOUNDATION;12/19/2007;$100
RIVER OAKS BAPTIST SCHOOL;12/19/2007;$2,000
RIVER PARK NURSERY SCHOOL KINDERGARTEN;10.12.2007;$500
RIVERDALE COUNTRY SCHOOL;10/24/2007;$500
RIVERDALE COUNTRY SCHOOL;02.04.2008;$1,000
RIVERDALE COUNTRY SCHOOL;5/14/2008;$2,000
RIVERDALE COUNTRY SCHOOL;09.05.2008;$1,000
ROBERT A. TOIGO FOUNDATION                             ;11/15/2007;$3,750
ROBERT A. TOIGO FOUNDATION                             ;4/17/2008;$20,000
ROBERT A. TOIGO FOUNDATION                             ;4/17/2008;$80,000
ROBERT A. TOIGO FOUNDATION                             ;4/24/2008;$350
ROBERT A. TOIGO FOUNDATION                             ;7/16/2008;$2,000
ROBERT D. FOWLER YMCA;7/16/2008;$1,602
ROBERT F KENNEDY CHILDREN'S ACTION CORPS;02.04.2008;$250
ROBIN HOOD FOUNDATION;10.05.2007;$750
ROBIN HOOD FOUNDATION;11/15/2007;$100
ROBIN HOOD FOUNDATION;12/19/2007;$100
ROBIN HOOD FOUNDATION;05.01.2008;$100
ROBIN HOOD FOUNDATION;05.07.2008;$1,100
ROBIN HOOD FOUNDATION;6/17/2008;$10,000
ROCK THE EARTH;05.07.2008;$250
ROCKY MOUNTAIN ALLEY CAT ALLIANCE;10.05.2007;$100
ROCKY MOUNTAIN ALLEY CAT ALLIANCE;05.07.2008;$100
ROLLINS COLLEGE;05.07.2008;$500
ROMAN CATHOLIC DIOCESE OF ROCKVILLE;07.02.2008;$100
ROMAN CATHOLIC DIOCESE OF ROCKVILLE;7/16/2008;$550
ROMAN CATHOLIC DIOCESE OF ROCKVILLE;09.05.2008;$250
RONALD MCDONALD HOUSE;05.01.2008;$200
RONALD MCDONALD HOUSE;5/14/2008;$1,100
RONALD MCDONALD HOUSE;06.10.2008;$100
RONALD MCDONALD HOUSE;06.10.2008;$5,223
ROOM TO READ;05.01.2008;$1,350
ROOM TO READ;7/16/2008;$1,000
ROSELAND CHRISTIAN SCHOOL;07.02.2008;$1,000
ROSWELL PARK ALLIANCE FOUNDATION;10/24/2007;$2,000
ROTCH JONES DUFF HOUSE AND GARDEN;05.01.2008;$200
ROUNDABOUT THEATRE COMPANY;5/14/2008;$2,000
ROUNDABOUT THEATRE COMPANY;09.05.2008;$125
ROW NEW YORK;4/25/2008;$100
ROWLAND HALL-ST. MARK'S SCHOOL;05.07.2008;$500
ROXBURY ARTS GROUP INC;12.04.2007;$450
ROXBURY LAND TRUST;03.03.2008;$250
ROXBURY LIBRARY;02.04.2008;$250
ROXBURY SCHOLARSHIP FOUNDATION;07.02.2008;$250
RTA INCORPORATED;10.12.2007;$300
RUDOLF STEINER SCHOOL;05.01.2008;$900
RUGMARK FOUNDATION USA;10.12.2007;$200
RUTGERS UNIVERSITY FOUNDATION;04.10.2008;$2,000
RUTGERS UNIVERSITY FOUNDATION;05.01.2008;$300
RUTGERS UNIVERSITY FOUNDATION;06.10.2008;$200
RUTGERS UNIVERSITY FOUNDATION;7/16/2008;$200
RUTGERS UNIVERSITY FOUNDATION;09.05.2008;$1,500
RYAN ANDREW KAISER MEMORIAL FOUNDATION;09.05.2008;$300
RYE COUNTRY DAY SCHOOL;10.05.2007;$150
RYE COUNTRY DAY SCHOOL;10/24/2007;$2,000
RYE COUNTRY DAY SCHOOL;02.04.2008;$2,000
RYE COUNTRY DAY SCHOOL;05.01.2008;$2,500
RYE COUNTRY DAY SCHOOL;7/23/2008;$275
RYE FREE READING ROOM;9/24/2007;$250
RYE FREE READING ROOM;5/14/2008;$150
SACRAMENTO WOLDORF SCHOOL;12.04.2007;$2,000
SACRED HEART SCHOOL;06.10.2008;$2,000
SADIE NASH LEADERSHIP PROJECT;03.03.2008;$400
SAGE ELDER;03.03.2008;$500
SAI RAM FOUNDATION;02.04.2008;$6,000
SAI RAM FOUNDATION;06.10.2008;$6,000
SAINT ANDREW'S SCHOOL;05.01.2008;$150
SAINT ANTHONY'S HIGH SCHOOL;5/14/2008;$100
SAINT AUGUSTINE CHURCH;10/24/2007;$500
SAINT BARNABAS HEALTH CARE SYSTEM;4/25/2008;$500
SAINT BARNABAS MEDICAL CTR FNT;10/24/2007;$250
SAINT BARNABAS MEDICAL CTR FNT;11/15/2007;$4,250
SAINT BARNABAS MEDICAL CTR FNT;05.01.2008;$100
SAINT BARNABAS MEDICAL CTR FNT;5/14/2008;$1,100
SAINT CLARES FOUNDATION INC;03.03.2008;$480
SAINT DAVID'S SCHOOL;05.07.2008;$2,000
SAINT DAVID'S SCHOOL;7/23/2008;$1,000
SAINT DOMINIC ACADEMY;7/23/2008;$250
SAINT IGNATIUS LOYOLA SCHOOL;3/17/2008;$750
SAINT JOSEPHS EPISCOPAL;03.03.2008;$500
SAINT JOSEPHS HIGH SCHOOL;3/17/2008;$1,000
SAINT JOSEPHS HIGH SCHOOL;09.05.2008;$1,000
SAINT LUKE'S SCHOOL;12/19/2007;$1,000
SAINT MICHAEL'S COLLEGE;10/24/2007;$100
SAINT MICHAEL'S COLLEGE;7/23/2008;$2,000
SAINT VINCENTS CATHOLIC MEDICAL CENTERS;03.03.2008;$300
SAINT VINCENTS CATHOLIC MEDICAL CENTERS;5/14/2008;$100
SALVATION ARMY;05.01.2008;$150
SALVATION ARMY;05.01.2008;$250
SALVATION ARMY;05.07.2008;$100
SALVATION ARMY;7/16/2008;$100
SAM'S HOUSE;02.04.2008;$500
SAMUEL FIELD/BAY TERRACE;11/15/2007;$100
SAN FRANCISCO BALLET AUXILIARY;5/14/2008;$75
SAN FRANCISCO BALLET AUXILIARY;7/16/2008;$70
SAN FRANCISCO GIRLS CHORUS;3/18/2008;$2,500
SAN FRANCISCO GIRLS CHORUS;09.05.2008;$2,000
SAN FRANCISCO STATE UNIVERSITY;4/25/2008;$650
SAN FRANCISCO STATE UNIVERSITY;7/16/2008;$600
SAN FRANCISCO SYMPHONY;10/24/2007;$55
SAN FRANCISCO SYMPHONY;5/14/2008;$60
SAN FRANCISCO'S AIDS FDTN;10.05.2007;$250
SAN FRANCISCO'S AIDS FDTN;11/15/2007;$200
SAN FRANCISCO'S AIDS FDTN;12.04.2007;$100
SAN FRANCISCO'S AIDS FDTN;12.05.2007;$300
SAN FRANCISCO'S AIDS FDTN;06.10.2008;$1,150
SAN FRANCISCO'S AIDS FDTN;7/16/2008;$200
SAN FRANCISCO'S AIDS FDTN;09.05.2008;$550
SANKARA EYE FOUNDATION USA;05.07.2008;$60
SANKARA EYE FOUNDATION USA;7/23/2008;$1,000
SANKARA EYE FOUNDATION USA;09.05.2008;$50
SARA'S WISH FOUNDATION;05.01.2008;$150
SAVE DARFUR COALITION;10.12.2007;$50
SAVE DARFUR COALITION;1/15/2008;$500
SAVE DARFUR COALITION;5/14/2008;$100
SAVE DARFUR COALITION;7/16/2008;$200
SAVE THE CHILDREN FEDERATION;10.05.2007;$100
SAVE THE CHILDREN FEDERATION;02.04.2008;$600
SAVE THE CHILDREN FEDERATION;05.01.2008;$2,336
SAVE THE CHILDREN FEDERATION;09.05.2008;$200
SCHOOL FOR STRINGS;12/19/2007;$150
SCHOOL FOR STRINGS;5/14/2008;$750
SCHOOL FUEL;01.10.2008;$250
SCHOOL OF THE HOLY CHILD;9/24/2007;$1,000
SCHOOL OF THE HOLY CHILD;05.01.2008;$250
SCHOOL OF THE HOLY CHILD;09.05.2008;$250
SCONSET TRUST;06.10.2008;$500
SDC - THE CENTER FOR DISCOVERY;10/24/2007;$100
SDC - THE CENTER FOR DISCOVERY;08.06.2008;$300
SEARCH AND CARE;5/14/2008;$2,000
SEEING EYE;02.04.2008;$1,500
SEEING EYE;7/16/2008;$100
SELF HELP INTERNATIONAL;3/17/2008;$2,000
SENIOR CARE AND ACTIVITIES CENTER;06.10.2008;$100
SERVICE PROGRAM FOR OLDER PEOPLE INC;5/20/2008;$500
SESAME WORKSHOP;9/21/2007;$300
SESAME WORKSHOP;05.07.2008;$50
SETON HALL UNIVERSITY;09.05.2008;$100
SHADOW EQUESTRIAN INC;12/19/2007;$100
SHAKESPEARE THEATRE OF NEW JERSEY;07.02.2008;$100
SHARING NETWORK;12.04.2007;$50
SHARING NETWORK;3/17/2008;$50
SHELTER OUR SISTERS;05.01.2008;$2,000
SHERIDAN SCHOOL;7/23/2008;$2,000
SHIPPENSBURG UNIVERSITY FOUNDATION;07.02.2008;$500
SHRINERS HOSPITALS FOR CHILDREN;8/29/2008;$100
SHUANG WEN ACADEMY NETWORK;4/25/2008;$1,000
SHUANG WEN ACADEMY NETWORK;7/16/2008;$800
SIDDHA YOGA MEDITATION CENTER;10.05.2007;$50
SIDDHA YOGA MEDITATION CENTER;10/24/2007;$50
SIDDHA YOGA MEDITATION CENTER;5/14/2008;$50
SIENA COLLEGE;5/14/2008;$250
SIMON BEAUGIE PICTURE FRAMES LIMITED;5/23/2008;$364
SIMON WIESENTHAL CENTER;09.05.2008;$250
SKIDMORE COLLEGE;05.07.2008;$200
SLE LUPUS FOUNDATION;4/25/2008;$250
SLE LUPUS FOUNDATION;05.07.2008;$100
SMALL PAWS RESCUE INC;3/17/2008;$100
SMILE TRAIN;10.05.2007;$1,250
SMILE TRAIN;10/24/2007;$2,250
SMILE TRAIN;05.01.2008;$550
SMILE TRAIN;06.10.2008;$450
SMILE TRAIN;7/16/2008;$100
SMILE TRAIN;09.05.2008;$50
SOCCER FOR PEACE;3/17/2008;$100
SOCIETY OF WOMEN ENGINEERS;05.07.2008;$500
SOLOMON R. GUGGENHEIM FOUNDATION;05.07.2008;$125
SOLOMON R. GUGGENHEIM FOUNDATION;7/16/2008;$500
SOLOMON SCHECHTER DAY SCHOOL;5/14/2008;$850
SOMERS SCHOOLS ALUMNI ASSOCIATION;10.12.2007;$100
SOUND BEACH VOLUNTEER SVCS FOUNDATION;12.04.2007;$150
SOUTH FLORIDA YOUTH FOUNDATION;05.01.2008;$1,000
SOUTH MOUNTAIN YMCA;9/21/2007;$500
SOUTH MOUNTAIN YMCA;06.10.2008;$100
SOUTH ORANGE PERFORMING ARTS CENTER;5/14/2008;$2,000
SOUTHEASTERN BRAIN TUMOR FOUNDATION;12.04.2007;$600
SOUTHERN METHODIST UNIVERSITY;7/16/2008;$100
SOUTHERN METHODIST UNIVERSITY;7/23/2008;$250
SPECIAL OLYMPICS;07.02.2008;$500
SPECIAL OLYMPICS;7/16/2008;$50
SPECIAL OLYMPICS CONNECTICUT INC;3/17/2008;$50
SPECIAL OLYMPICS CONNECTICUT INC;06.10.2008;$55
SPECIAL OLYMPICS MARYLAND HOWARD COUNTY;10.12.2007;$1,550
SPECIAL OLYMPICS MARYLAND HOWARD COUNTY;7/23/2008;$1,950
SPECIAL OLYMPICS NEW YORK INC;10.12.2007;$100
SPECIAL OLYMPICS NEW YORK INC;02.04.2008;$100
SPECIAL OLYMPICS NEW YORK INC;06.10.2008;$100
SPECIAL OLYMPICS NEW YORK INC;07.02.2008;$50
SPECIAL OLYMPICS NEW YORK INC;09.05.2008;$50
SPECIAL OLYMPICS SOUTHERN CALIFORNIA INC;3/17/2008;$100
SPEECH AND LANGUAGE DEVELOPMENT CENTER;12.04.2007;$350
SPELMAN COLLEGE;11/20/2007;$1,000
SPELMAN COLLEGE;8/22/2008;$10,000
SPENCE SCHOOL;12/19/2007;$2,000
SPENCE SCHOOL;05.07.2008;$1,500
SPENCE SCHOOL;7/16/2008;$2,000
SPIRIT OF AMERICA WORLDWIDE;9/24/2007;$150
SPONSORS FOR EDUCATIONAL OPPTY;11/30/2007;$40,000
SPONSORS FOR EDUCATIONAL OPPTY;12.06.2007;$40,000
SPONSORS FOR EDUCATIONAL OPPTY;1/29/2008;$6,188
SPONSORS FOR EDUCATIONAL OPPTY;3/14/2008;$500,000
SPRINGFIELD FIRST AID SQUAD;10/24/2007;$100
SPROUT HOUSE INC;5/20/2008;$250
ST ALBANS SCHOOL;12.04.2007;$100
ST HUBERTS ANIMAL WELFARE CENTER;03.03.2008;$350
ST HUBERTS ANIMAL WELFARE CENTER;06.10.2008;$75
ST HUBERTS ANIMAL WELFARE CENTER;7/16/2008;$50
ST HUBERTS ANIMAL WELFARE CENTER;09.05.2008;$250
ST HUBERT'S GIRALDA;10.05.2007;$150
ST JOSEPH SERVICES INC;12/19/2007;$1,000
ST JOSEPH SERVICES INC;05.01.2008;$1,000
ST JOSEPH'S PREPARATORY SCHOOL;9/24/2007;$500
ST JUDE CHILDREN'S REASEARCH HOSPITAL;10.05.2007;$2,200
ST JUDE CHILDREN'S REASEARCH HOSPITAL;11/15/2007;$100
ST JUDE CHILDREN'S REASEARCH HOSPITAL;02.04.2008;$300
ST JUDE CHILDREN'S REASEARCH HOSPITAL;05.01.2008;$3,300
ST JUDE CHILDREN'S REASEARCH HOSPITAL;05.07.2008;$300
ST JUDE CHILDREN'S REASEARCH HOSPITAL;5/14/2008;$50
ST JUDE CHILDREN'S REASEARCH HOSPITAL;06.10.2008;$303
ST JUDE CHILDREN'S REASEARCH HOSPITAL;7/16/2008;$50
ST JUDE CHILDREN'S REASEARCH HOSPITAL;09.05.2008;$100
ST JUDE CHILDREN'S REASEARCH HOSPITAL;09.05.2008;$1,300
ST LAWRENCE UNIVERSITY;10.05.2007;$2,000
ST LAWRENCE UNIVERSITY;05.01.2008;$700
ST LAWRENCE UNIVERSITY;06.10.2008;$500
ST LAWRENCE UNIVERSITY;09.05.2008;$800
ST LOUISE PARISH SCHOOL;05.07.2008;$2,000
ST LUKE LUTHERAN CHURCH AND PRESCHOOL;7/16/2008;$2,000
ST MARY'S HOSPITAL FOR;10.05.2007;$500
ST MATTHIAS SCHOOL;9/21/2007;$2,000
ST PETER OF ALCANTARA SCHOOL FOUNDATION;12/19/2007;$2,000
ST PETER'S COLLEGE;10.05.2007;$2,000
ST PETER'S COLLEGE;11.05.2007;$1,000
ST PETER'S COLLEGE;8/26/2008;$1,000
ST PETER'S PREP SCHOOL;5/14/2008;$500
ST ROSE HIGH SCHOOL;03.03.2008;$250
ST THOMAS ACADEMY;05.01.2008;$1,250
ST. BALDRICK'S FOUNDATION;10.05.2007;$600
ST. BALDRICK'S FOUNDATION;06.10.2008;$300
ST. BALDRICK'S FOUNDATION;7/16/2008;$500
ST. BALDRICK'S FOUNDATION;09.05.2008;$50
ST. FRANCIS COLLEGE;02.04.2008;$250
ST. FRANCIS COLLEGE;06.10.2008;$1,250
ST. FRANCIS HOSPITAL FOUNDATION INC.;10/24/2007;$100
ST. JOHN'S PREPARATORY SCHOOL;1/22/2008;$100
ST. JOHN'S PREPARATORY SCHOOL;5/14/2008;$100
ST. LUKE'S ROOSEVELT HOSPITAL;05.07.2008;$2,000
ST. LUKE'S SCHOOL;10/24/2007;$2,000
ST. LUKE'S SCHOOL;02.04.2008;$250
ST. LUKE'S SCHOOL;7/23/2008;$2,000
ST. OLAF COLLEGE;5/14/2008;$750
ST. PAUL'S SCHOOL;10.05.2007;$1,250
ST. PAUL'S SCHOOL;05.01.2008;$2,000
ST. PAUL'S SCHOOL;05.07.2008;$2,500
ST. PAUL'S SCHOOL;7/16/2008;$750
ST. VINCENT CATHOLIC MEDICAL;12.04.2007;$150
ST. VINCENT MEALS ON WHEELS;5/14/2008;$1,000
ST.CATHERINE'S COLLEGE OXFORD FOUNDATION;5/20/2008;$250
STAND FOR CHILDREN LEADERSHIP CENTER;9/24/2007;$100
STANFORD UNIVERSITY                                    ;10.05.2007;$1,050
STANFORD UNIVERSITY                                    ;11/15/2007;$250
STANFORD UNIVERSITY                                    ;11/30/2007;$25,000
STANFORD UNIVERSITY                                    ;12.11.2007;$10,000
STANFORD UNIVERSITY                                    ;12.11.2007;$15,000
STANFORD UNIVERSITY                                    ;04.02.2008;$1,500
STANFORD UNIVERSITY                                    ;05.01.2008;$250
STANFORD UNIVERSITY                                    ;05.07.2008;$300
STANFORD UNIVERSITY                                    ;7/23/2008;$100
STANFORD UNIVERSITY                                    ;8/22/2008;$7,500
STANFORD UNIVERSITY                                    ;8/22/2008;$7,500
